Город	Возраст	Численность населения	Год
Ростов-на-Дону	3-7	18	1854
Ростов-на-Дону	8-14	38	1854
Ростов-на-Дону	15-18	99	1854
Ростов-на-Дону	18-25	77	1854
Ростов-на-Дону	26-35	22	1854
Ростов-на-Дону	36-45	38	1854
Ростов-на-Дону	46-60	68	1854
Ростов-на-Дону	61-80	94	1854
Ростов-на-Дону	80-100	88	1854
Ростов-на-Дону	101+	14	1854
Уфа	0-3	58	1854
Уфа	3-7	54	1854
Уфа	8-14	31	1854
Уфа	15-18	71	1854
Уфа	18-25	100	1854
Уфа	26-35	11	1854
Уфа	36-45	21	1854
Уфа	46-60	11	1854
Уфа	61-80	23	1854
Уфа	80-100	49	1854
Уфа	101+	24	1854
Красноярск	0-3	72	1854
Красноярск	3-7	27	1854
Красноярск	8-14	18	1854
Красноярск	15-18	51	1854
Красноярск	18-25	85	1854
Красноярск	26-35	11	1854
Красноярск	36-45	18	1854
Красноярск	46-60	82	1854
Красноярск	61-80	77	1854
Красноярск	80-100	88	1854
Красноярск	101+	25	1854
Москва	0-3	93	1857
Москва	3-7	75	1857
Москва	8-14	36	1857
Москва	15-18	76	1857
Москва	18-25	80	1857
Москва	26-35	14	1857
Москва	36-45	56	1857
Москва	46-60	68	1857
Москва	61-80	63	1857
Москва	80-100	23	1857
Москва	101+	78	1857
Санкт-Петербург	0-3	59	1857
Санкт-Петербург	3-7	44	1857
Санкт-Петербург	8-14	25	1857
Санкт-Петербург	15-18	52	1857
Санкт-Петербург	18-25	91	1857
Санкт-Петербург	26-35	72	1857
Санкт-Петербург	36-45	25	1857
Санкт-Петербург	46-60	39	1857
Санкт-Петербург	61-80	35	1857
Санкт-Петербург	80-100	24	1857
Санкт-Петербург	101+	18	1857
Новосибирск	0-3	22	1857
Новосибирск	3-7	39	1857
Новосибирск	8-14	74	1857
Новосибирск	15-18	52	1857
Новосибирск	18-25	26	1857
Новосибирск	26-35	61	1857
Новосибирск	36-45	59	1857
Новосибирск	46-60	29	1857
Новосибирск	61-80	38	1857
Новосибирск	80-100	17	1857
Новосибирск	101+	68	1857
Екатеринбург	0-3	81	1857
Екатеринбург	3-7	71	1857
Екатеринбург	8-14	48	1857
Екатеринбург	15-18	14	1857
Екатеринбург	18-25	14	1857
Екатеринбург	26-35	30	1857
Екатеринбург	36-45	29	1857
Екатеринбург	46-60	22	1857
Екатеринбург	61-80	61	1857
Екатеринбург	80-100	62	1857
Екатеринбург	101+	87	1857
Казань	0-3	91	1857
Казань	3-7	81	1857
Казань	8-14	26	1857
Казань	15-18	60	1857
Казань	18-25	36	1857
Казань	26-35	90	1857
Казань	36-45	46	1857
Казань	46-60	51	1857
Казань	61-80	62	1857
Казань	80-100	96	1857
Казань	101+	52	1857
Нижний Новгород	0-3	42	1857
Нижний Новгород	3-7	43	1857
Нижний Новгород	8-14	42	1857
Нижний Новгород	15-18	27	1857
Нижний Новгород	18-25	88	1857
Нижний Новгород	26-35	96	1857
Нижний Новгород	36-45	12	1857
Нижний Новгород	46-60	52	1857
Нижний Новгород	61-80	57	1857
Нижний Новгород	80-100	94	1857
Нижний Новгород	101+	12	1857
Челябинск	0-3	52	1857
Челябинск	3-7	42	1857
Челябинск	8-14	17	1857
Челябинск	15-18	27	1857
Челябинск	18-25	73	1857
Челябинск	26-35	30	1857
Челябинск	36-45	69	1857
Челябинск	46-60	64	1857
Челябинск	61-80	97	1857
Челябинск	80-100	13	1857
Челябинск	101+	75	1857
Самара	0-3	41	1857
Самара	3-7	68	1857
Самара	8-14	74	1857
Самара	15-18	50	1857
Самара	18-25	50	1857
Самара	26-35	56	1857
Самара	36-45	68	1857
Самара	46-60	39	1857
Самара	61-80	62	1857
Самара	80-100	85	1857
Самара	101+	78	1857
Омск	0-3	50	1857
Омск	3-7	52	1857
Омск	8-14	70	1857
Омск	15-18	82	1857
Омск	18-25	38	1857
Омск	26-35	92	1857
Омск	36-45	91	1857
Омск	46-60	57	1857
Омск	61-80	28	1857
Омск	80-100	93	1857
Омск	101+	84	1857
Ростов-на-Дону	0-3	46	1857
Ростов-на-Дону	3-7	31	1857
Ростов-на-Дону	8-14	65	1857
Ростов-на-Дону	15-18	82	1857
Ростов-на-Дону	18-25	52	1857
Ростов-на-Дону	26-35	85	1857
Ростов-на-Дону	36-45	84	1857
Ростов-на-Дону	46-60	91	1857
Ростов-на-Дону	61-80	20	1857
Ростов-на-Дону	80-100	68	1857
Ростов-на-Дону	101+	64	1857
Уфа	0-3	29	1857
Уфа	3-7	10	1857
Уфа	8-14	92	1857
Уфа	15-18	73	1857
Уфа	18-25	14	1857
Уфа	26-35	80	1857
Уфа	36-45	40	1857
Уфа	46-60	17	1857
Уфа	61-80	77	1857
Уфа	80-100	67	1857
Уфа	101+	94	1857
Красноярск	0-3	54	1857
Красноярск	3-7	35	1857
Красноярск	8-14	52	1857
Красноярск	15-18	48	1857
Красноярск	18-25	71	1857
Красноярск	26-35	13	1857
Красноярск	36-45	33	1857
Красноярск	46-60	95	1857
Красноярск	61-80	34	1857
Красноярск	80-100	62	1857
Красноярск	101+	89	1857
Москва	0-3	48	1860
Москва	3-7	78	1860
Москва	8-14	23	1860
Москва	15-18	84	1860
Москва	18-25	100	1860
Москва	26-35	20	1860
Москва	36-45	40	1860
Москва	46-60	17	1860
Москва	61-80	99	1860
Москва	80-100	44	1860
Москва	101+	97	1860
Санкт-Петербург	0-3	70	1860
Санкт-Петербург	3-7	14	1860
Санкт-Петербург	8-14	90	1860
Санкт-Петербург	15-18	14	1860
Санкт-Петербург	18-25	69	1860
Санкт-Петербург	26-35	84	1860
Санкт-Петербург	36-45	23	1860
Санкт-Петербург	46-60	31	1860
Санкт-Петербург	61-80	99	1860
Санкт-Петербург	80-100	71	1860
Санкт-Петербург	101+	28	1860
Новосибирск	0-3	39	1860
Новосибирск	3-7	87	1860
Новосибирск	8-14	84	1860
Новосибирск	15-18	58	1860
Новосибирск	18-25	21	1860
Новосибирск	26-35	46	1860
Новосибирск	36-45	57	1860
Новосибирск	46-60	89	1860
Новосибирск	61-80	29	1860
Новосибирск	80-100	33	1860
Новосибирск	101+	43	1860
Екатеринбург	0-3	37	1860
Екатеринбург	3-7	100	1860
Екатеринбург	8-14	66	1860
Екатеринбург	15-18	18	1860
Екатеринбург	18-25	65	1860
Екатеринбург	26-35	61	1860
Екатеринбург	36-45	49	1860
Екатеринбург	46-60	75	1860
Екатеринбург	61-80	16	1860
Екатеринбург	80-100	11	1860
Екатеринбург	101+	79	1860
Казань	0-3	61	1860
Казань	3-7	69	1860
Казань	8-14	21	1860
Казань	15-18	32	1860
Казань	18-25	89	1860
Казань	26-35	67	1860
Казань	36-45	97	1860
Казань	46-60	64	1860
Казань	61-80	12	1860
Казань	80-100	87	1860
Казань	101+	17	1860
Нижний Новгород	0-3	94	1860
Нижний Новгород	3-7	72	1860
Нижний Новгород	8-14	71	1860
Нижний Новгород	15-18	76	1860
Нижний Новгород	18-25	99	1860
Нижний Новгород	26-35	72	1860
Нижний Новгород	36-45	98	1860
Нижний Новгород	46-60	13	1860
Нижний Новгород	61-80	67	1860
Нижний Новгород	80-100	74	1860
Нижний Новгород	101+	48	1860
Челябинск	0-3	40	1860
Челябинск	3-7	12	1860
Челябинск	8-14	40	1860
Челябинск	15-18	86	1860
Челябинск	18-25	29	1860
Челябинск	26-35	42	1860
Челябинск	36-45	93	1860
Челябинск	46-60	100	1860
Челябинск	61-80	21	1860
Челябинск	80-100	87	1860
Челябинск	101+	39	1860
Самара	0-3	76	1860
Самара	3-7	41	1860
Самара	8-14	32	1860
Самара	15-18	54	1860
Самара	18-25	35	1860
Самара	26-35	46	1860
Самара	36-45	43	1860
Самара	46-60	84	1860
Самара	61-80	19	1860
Самара	80-100	61	1860
Самара	101+	67	1860
Омск	0-3	96	1860
Омск	3-7	33	1860
Омск	8-14	28	1860
Омск	15-18	68	1860
Омск	18-25	46	1860
Омск	26-35	38	1860
Омск	36-45	39	1860
Омск	46-60	76	1860
Омск	61-80	60	1860
Омск	80-100	96	1860
Омск	101+	76	1860
Ростов-на-Дону	0-3	64	1860
Ростов-на-Дону	3-7	64	1860
Ростов-на-Дону	8-14	74	1860
Ростов-на-Дону	15-18	27	1860
Ростов-на-Дону	18-25	43	1860
Ростов-на-Дону	26-35	87	1860
Ростов-на-Дону	36-45	27	1860
Ростов-на-Дону	46-60	30	1860
Ростов-на-Дону	61-80	15	1860
Ростов-на-Дону	80-100	30	1860
Ростов-на-Дону	101+	50	1860
Уфа	0-3	40	1860
Уфа	3-7	79	1860
Уфа	8-14	47	1860
Уфа	15-18	92	1860
Уфа	18-25	98	1860
Уфа	26-35	12	1860
Уфа	36-45	48	1860
Уфа	46-60	54	1860
Уфа	61-80	100	1860
Уфа	80-100	25	1860
Уфа	101+	99	1860
Красноярск	0-3	58	1860
Красноярск	3-7	33	1860
Красноярск	8-14	100	1860
Красноярск	15-18	54	1860
Красноярск	18-25	64	1860
Красноярск	26-35	99	1860
Красноярск	36-45	31	1860
Красноярск	46-60	67	1860
Красноярск	61-80	79	1860
Красноярск	80-100	74	1860
Красноярск	101+	72	1860
Москва	0-3	15	1863
Москва	3-7	16	1863
Москва	8-14	98	1863
Москва	15-18	84	1863
Москва	18-25	64	1863
Москва	26-35	58	1863
Москва	36-45	77	1863
Москва	46-60	46	1863
Москва	61-80	72	1863
Москва	80-100	54	1863
Москва	101+	95	1863
Санкт-Петербург	0-3	24	1863
Санкт-Петербург	3-7	23	1863
Санкт-Петербург	8-14	12	1863
Санкт-Петербург	15-18	90	1863
Санкт-Петербург	18-25	48	1863
Санкт-Петербург	26-35	75	1863
Санкт-Петербург	36-45	18	1863
Санкт-Петербург	46-60	55	1863
Санкт-Петербург	61-80	71	1863
Санкт-Петербург	80-100	53	1863
Санкт-Петербург	101+	53	1863
Новосибирск	0-3	42	1863
Новосибирск	3-7	63	1863
Новосибирск	8-14	79	1863
Новосибирск	15-18	47	1863
Новосибирск	18-25	72	1863
Новосибирск	26-35	17	1863
Новосибирск	36-45	77	1863
Новосибирск	46-60	58	1863
Новосибирск	61-80	78	1863
Новосибирск	80-100	54	1863
Новосибирск	101+	10	1863
Екатеринбург	0-3	69	1863
Екатеринбург	3-7	92	1863
Екатеринбург	8-14	99	1863
Екатеринбург	15-18	100	1863
Екатеринбург	18-25	53	1863
Екатеринбург	26-35	43	1863
Екатеринбург	36-45	87	1863
Екатеринбург	46-60	35	1863
Екатеринбург	61-80	55	1863
Екатеринбург	80-100	78	1863
Екатеринбург	101+	21	1863
Казань	0-3	51	1863
Казань	3-7	12	1863
Казань	8-14	88	1863
Казань	15-18	22	1863
Казань	18-25	15	1863
Казань	26-35	76	1863
Казань	36-45	55	1863
Казань	46-60	87	1863
Казань	61-80	47	1863
Казань	80-100	66	1863
Казань	101+	37	1863
Нижний Новгород	0-3	82	1863
Нижний Новгород	3-7	66	1863
Нижний Новгород	8-14	68	1863
Нижний Новгород	15-18	10	1863
Нижний Новгород	18-25	43	1863
Нижний Новгород	26-35	69	1863
Нижний Новгород	36-45	65	1863
Нижний Новгород	46-60	91	1863
Нижний Новгород	61-80	14	1863
Нижний Новгород	80-100	93	1863
Нижний Новгород	101+	11	1863
Челябинск	0-3	44	1863
Челябинск	3-7	49	1863
Челябинск	8-14	10	1863
Челябинск	15-18	18	1863
Челябинск	18-25	23	1863
Челябинск	26-35	57	1863
Челябинск	36-45	49	1863
Челябинск	46-60	27	1863
Челябинск	61-80	81	1863
Челябинск	80-100	41	1863
Челябинск	101+	27	1863
Самара	0-3	78	1863
Самара	3-7	82	1863
Самара	8-14	95	1863
Самара	15-18	16	1863
Самара	18-25	51	1863
Самара	26-35	97	1863
Самара	36-45	12	1863
Самара	46-60	96	1863
Самара	61-80	39	1863
Самара	80-100	34	1863
Самара	101+	48	1863
Омск	0-3	52	1863
Омск	3-7	37	1863
Омск	8-14	99	1863
Омск	15-18	72	1863
Омск	18-25	38	1863
Омск	26-35	34	1863
Омск	36-45	43	1863
Омск	46-60	12	1863
Омск	61-80	57	1863
Омск	80-100	40	1863
Омск	101+	34	1863
Ростов-на-Дону	0-3	11	1863
Ростов-на-Дону	3-7	95	1863
Ростов-на-Дону	8-14	68	1863
Ростов-на-Дону	15-18	64	1863
Ростов-на-Дону	18-25	59	1863
Ростов-на-Дону	26-35	87	1863
Ростов-на-Дону	36-45	32	1863
Ростов-на-Дону	46-60	52	1863
Ростов-на-Дону	61-80	41	1863
Ростов-на-Дону	80-100	71	1863
Ростов-на-Дону	101+	98	1863
Уфа	0-3	84	1863
Уфа	3-7	28	1863
Уфа	8-14	30	1863
Уфа	15-18	76	1863
Уфа	18-25	32	1863
Уфа	26-35	86	1863
Уфа	36-45	41	1863
Уфа	46-60	34	1863
Уфа	61-80	21	1863
Уфа	80-100	93	1863
Уфа	101+	42	1863
Красноярск	0-3	17	1863
Красноярск	3-7	18	1863
Красноярск	8-14	82	1863
Красноярск	15-18	98	1863
Красноярск	18-25	55	1863
Красноярск	26-35	76	1863
Красноярск	36-45	45	1863
Красноярск	46-60	22	1863
Красноярск	61-80	22	1863
Красноярск	80-100	59	1863
Красноярск	101+	81	1863
Москва	0-3	41	1866
Москва	3-7	87	1866
Москва	8-14	22	1866
Москва	15-18	93	1866
Москва	18-25	44	1866
Москва	26-35	22	1866
Москва	36-45	62	1866
Москва	46-60	100	1866
Москва	61-80	27	1866
Москва	80-100	98	1866
Москва	101+	43	1866
Санкт-Петербург	0-3	96	1866
Санкт-Петербург	3-7	15	1866
Санкт-Петербург	8-14	27	1866
Санкт-Петербург	15-18	73	1866
Санкт-Петербург	18-25	51	1866
Санкт-Петербург	26-35	75	1866
Санкт-Петербург	36-45	62	1866
Санкт-Петербург	46-60	48	1866
Санкт-Петербург	61-80	33	1866
Санкт-Петербург	80-100	29	1866
Санкт-Петербург	101+	64	1866
Новосибирск	0-3	31	1866
Новосибирск	3-7	29	1866
Новосибирск	8-14	76	1866
Новосибирск	15-18	64	1866
Новосибирск	18-25	17	1866
Новосибирск	26-35	51	1866
Новосибирск	36-45	35	1866
Новосибирск	46-60	74	1866
Новосибирск	61-80	76	1866
Новосибирск	80-100	33	1866
Новосибирск	101+	12	1866
Екатеринбург	0-3	51	1866
Екатеринбург	3-7	31	1866
Екатеринбург	8-14	92	1866
Екатеринбург	15-18	11	1866
Екатеринбург	18-25	11	1866
Екатеринбург	26-35	90	1866
Екатеринбург	36-45	47	1866
Екатеринбург	46-60	12	1866
Екатеринбург	61-80	75	1866
Екатеринбург	80-100	87	1866
Екатеринбург	101+	78	1866
Казань	0-3	73	1866
Казань	3-7	49	1866
Казань	8-14	52	1866
Казань	15-18	64	1866
Казань	18-25	59	1866
Казань	26-35	42	1866
Казань	36-45	98	1866
Казань	46-60	81	1866
Казань	61-80	86	1866
Казань	80-100	37	1866
Казань	101+	70	1866
Нижний Новгород	0-3	92	1866
Нижний Новгород	3-7	52	1866
Нижний Новгород	8-14	52	1866
Нижний Новгород	15-18	77	1866
Нижний Новгород	18-25	10	1866
Нижний Новгород	26-35	59	1866
Нижний Новгород	36-45	100	1866
Нижний Новгород	46-60	70	1866
Нижний Новгород	61-80	52	1866
Нижний Новгород	80-100	54	1866
Нижний Новгород	101+	39	1866
Челябинск	0-3	13	1866
Челябинск	3-7	68	1866
Челябинск	8-14	84	1866
Челябинск	15-18	55	1866
Челябинск	18-25	97	1866
Челябинск	26-35	77	1866
Челябинск	36-45	77	1866
Челябинск	46-60	90	1866
Челябинск	61-80	74	1866
Челябинск	80-100	13	1866
Челябинск	101+	78	1866
Самара	0-3	74	1866
Самара	3-7	92	1866
Самара	8-14	59	1866
Самара	15-18	32	1866
Самара	18-25	30	1866
Самара	26-35	87	1866
Самара	36-45	86	1866
Самара	46-60	14	1866
Самара	61-80	22	1866
Самара	80-100	60	1866
Самара	101+	41	1866
Омск	0-3	100	1866
Омск	3-7	94	1866
Омск	8-14	15	1866
Омск	15-18	76	1866
Омск	18-25	100	1866
Омск	26-35	85	1866
Омск	36-45	93	1866
Омск	46-60	11	1866
Омск	61-80	70	1866
Омск	80-100	90	1866
Омск	101+	13	1866
Ростов-на-Дону	0-3	49	1866
Ростов-на-Дону	3-7	78	1866
Ростов-на-Дону	8-14	99	1866
Ростов-на-Дону	15-18	84	1866
Ростов-на-Дону	18-25	48	1866
Ростов-на-Дону	26-35	91	1866
Ростов-на-Дону	36-45	86	1866
Ростов-на-Дону	46-60	29	1866
Ростов-на-Дону	61-80	18	1866
Ростов-на-Дону	80-100	66	1866
Ростов-на-Дону	101+	78	1866
Уфа	0-3	95	1866
Уфа	3-7	99	1866
Уфа	8-14	89	1866
Уфа	15-18	59	1866
Уфа	18-25	77	1866
Уфа	26-35	38	1866
Уфа	36-45	29	1866
Уфа	46-60	57	1866
Уфа	61-80	13	1866
Уфа	80-100	70	1866
Уфа	101+	14	1866
Красноярск	0-3	81	1866
Красноярск	3-7	77	1866
Красноярск	8-14	91	1866
Красноярск	15-18	67	1866
Красноярск	18-25	23	1866
Красноярск	26-35	80	1866
Красноярск	36-45	74	1866
Красноярск	46-60	25	1866
Красноярск	61-80	42	1866
Красноярск	80-100	28	1866
Красноярск	101+	19	1866
Москва	0-3	59	1869
Москва	3-7	46	1869
Москва	8-14	65	1869
Москва	15-18	27	1869
Москва	18-25	12	1869
Москва	26-35	53	1869
Москва	36-45	65	1869
Москва	46-60	32	1869
Москва	61-80	34	1869
Москва	80-100	75	1869
Москва	101+	14	1869
Санкт-Петербург	0-3	75	1869
Санкт-Петербург	3-7	23	1869
Санкт-Петербург	8-14	43	1869
Санкт-Петербург	15-18	68	1869
Санкт-Петербург	18-25	50	1869
Санкт-Петербург	26-35	73	1869
Санкт-Петербург	36-45	20	1869
Санкт-Петербург	46-60	54	1869
Санкт-Петербург	61-80	24	1869
Санкт-Петербург	80-100	75	1869
Санкт-Петербург	101+	36	1869
Новосибирск	0-3	92	1869
Новосибирск	3-7	21	1869
Новосибирск	8-14	48	1869
Новосибирск	15-18	41	1869
Новосибирск	18-25	18	1869
Новосибирск	26-35	51	1869
Новосибирск	36-45	33	1869
Новосибирск	46-60	39	1869
Новосибирск	61-80	38	1869
Новосибирск	80-100	54	1869
Новосибирск	101+	77	1869
Екатеринбург	0-3	84	1869
Екатеринбург	3-7	58	1869
Екатеринбург	8-14	53	1869
Екатеринбург	15-18	61	1869
Екатеринбург	18-25	63	1869
Екатеринбург	26-35	33	1869
Екатеринбург	36-45	52	1869
Екатеринбург	46-60	26	1869
Екатеринбург	61-80	60	1869
Екатеринбург	80-100	13	1869
Екатеринбург	101+	55	1869
Казань	0-3	70	1869
Казань	3-7	29	1869
Казань	8-14	23	1869
Казань	15-18	85	1869
Казань	18-25	26	1869
Казань	26-35	84	1869
Казань	36-45	37	1869
Казань	46-60	55	1869
Казань	61-80	95	1869
Казань	80-100	100	1869
Казань	101+	13	1869
Нижний Новгород	0-3	99	1869
Нижний Новгород	3-7	24	1869
Нижний Новгород	8-14	20	1869
Нижний Новгород	15-18	59	1869
Нижний Новгород	18-25	50	1869
Нижний Новгород	26-35	65	1869
Нижний Новгород	36-45	62	1869
Нижний Новгород	46-60	82	1869
Нижний Новгород	61-80	59	1869
Нижний Новгород	80-100	25	1869
Нижний Новгород	101+	100	1869
Челябинск	0-3	63	1869
Челябинск	3-7	78	1869
Челябинск	8-14	14	1869
Челябинск	15-18	47	1869
Челябинск	18-25	88	1869
Челябинск	26-35	77	1869
Челябинск	36-45	38	1869
Челябинск	46-60	75	1869
Челябинск	61-80	63	1869
Челябинск	80-100	82	1869
Челябинск	101+	59	1869
Самара	0-3	56	1869
Самара	3-7	52	1869
Самара	8-14	63	1869
Самара	15-18	61	1869
Самара	18-25	11	1869
Самара	26-35	100	1869
Самара	36-45	79	1869
Самара	46-60	54	1869
Самара	61-80	44	1869
Самара	80-100	82	1869
Самара	101+	60	1869
Омск	0-3	83	1869
Омск	3-7	62	1869
Омск	8-14	54	1869
Омск	15-18	32	1869
Омск	18-25	45	1869
Омск	26-35	95	1869
Омск	36-45	66	1869
Омск	46-60	66	1869
Омск	61-80	95	1869
Омск	80-100	37	1869
Омск	101+	65	1869
Ростов-на-Дону	0-3	53	1869
Ростов-на-Дону	3-7	71	1869
Ростов-на-Дону	8-14	73	1869
Ростов-на-Дону	15-18	49	1869
Ростов-на-Дону	18-25	99	1869
Ростов-на-Дону	26-35	15	1869
Ростов-на-Дону	36-45	17	1869
Ростов-на-Дону	46-60	95	1869
Ростов-на-Дону	61-80	58	1869
Ростов-на-Дону	80-100	64	1869
Ростов-на-Дону	101+	42	1869
Уфа	0-3	62	1869
Уфа	3-7	13	1869
Уфа	8-14	13	1869
Уфа	15-18	49	1869
Уфа	18-25	59	1869
Уфа	26-35	48	1869
Уфа	36-45	72	1869
Уфа	46-60	19	1869
Уфа	61-80	99	1869
Уфа	80-100	33	1869
Уфа	101+	24	1869
Красноярск	0-3	78	1869
Красноярск	3-7	99	1869
Красноярск	8-14	40	1869
Красноярск	15-18	11	1869
Красноярск	18-25	69	1869
Красноярск	26-35	45	1869
Красноярск	36-45	30	1869
Красноярск	46-60	20	1869
Красноярск	61-80	15	1869
Красноярск	80-100	62	1869
Красноярск	101+	37	1869
Москва	0-3	52	1872
Москва	3-7	82	1872
Москва	8-14	45	1872
Москва	15-18	58	1872
Москва	18-25	90	1872
Москва	26-35	72	1872
Москва	36-45	97	1872
Москва	46-60	41	1872
Москва	61-80	97	1872
Москва	80-100	12	1872
Москва	101+	93	1872
Санкт-Петербург	0-3	32	1872
Санкт-Петербург	3-7	37	1872
Санкт-Петербург	8-14	46	1872
Санкт-Петербург	15-18	99	1872
Санкт-Петербург	18-25	35	1872
Санкт-Петербург	26-35	12	1872
Санкт-Петербург	36-45	13	1872
Санкт-Петербург	46-60	88	1872
Санкт-Петербург	61-80	12	1872
Санкт-Петербург	80-100	34	1872
Санкт-Петербург	101+	31	1872
Новосибирск	0-3	91	1872
Новосибирск	3-7	98	1872
Новосибирск	8-14	85	1872
Новосибирск	15-18	34	1872
Новосибирск	18-25	10	1872
Новосибирск	26-35	81	1872
Новосибирск	36-45	79	1872
Новосибирск	46-60	42	1872
Новосибирск	61-80	45	1872
Новосибирск	80-100	80	1872
Новосибирск	101+	76	1872
Екатеринбург	0-3	71	1872
Екатеринбург	3-7	75	1872
Екатеринбург	8-14	13	1872
Екатеринбург	15-18	48	1872
Екатеринбург	18-25	93	1872
Екатеринбург	26-35	62	1872
Екатеринбург	36-45	62	1872
Екатеринбург	46-60	39	1872
Екатеринбург	61-80	43	1872
Екатеринбург	80-100	22	1872
Екатеринбург	101+	69	1872
Казань	0-3	84	1872
Казань	3-7	94	1872
Казань	8-14	81	1872
Казань	15-18	56	1872
Казань	18-25	47	1872
Казань	26-35	38	1872
Казань	36-45	94	1872
Казань	46-60	22	1872
Казань	61-80	64	1872
Казань	80-100	41	1872
Казань	101+	71	1872
Нижний Новгород	0-3	70	1872
Нижний Новгород	3-7	15	1872
Нижний Новгород	8-14	42	1872
Нижний Новгород	15-18	45	1872
Нижний Новгород	18-25	66	1872
Нижний Новгород	26-35	71	1872
Нижний Новгород	36-45	13	1872
Нижний Новгород	46-60	46	1872
Нижний Новгород	61-80	69	1872
Нижний Новгород	80-100	16	1872
Нижний Новгород	101+	18	1872
Челябинск	0-3	57	1872
Челябинск	3-7	78	1872
Челябинск	8-14	41	1872
Челябинск	15-18	87	1872
Челябинск	18-25	55	1872
Челябинск	26-35	88	1872
Челябинск	36-45	91	1872
Челябинск	46-60	69	1872
Челябинск	61-80	81	1872
Челябинск	80-100	77	1872
Челябинск	101+	17	1872
Самара	0-3	52	1872
Самара	3-7	38	1872
Самара	8-14	11	1872
Самара	15-18	59	1872
Самара	18-25	82	1872
Самара	26-35	66	1872
Самара	36-45	70	1872
Самара	46-60	10	1872
Самара	61-80	35	1872
Самара	80-100	93	1872
Самара	101+	38	1872
Омск	0-3	12	1872
Омск	3-7	43	1872
Омск	8-14	42	1872
Омск	15-18	51	1872
Омск	18-25	14	1872
Омск	26-35	51	1872
Омск	36-45	93	1872
Омск	46-60	75	1872
Омск	61-80	79	1872
Омск	80-100	58	1872
Омск	101+	21	1872
Ростов-на-Дону	0-3	48	1872
Ростов-на-Дону	3-7	12	1872
Ростов-на-Дону	8-14	12	1872
Ростов-на-Дону	15-18	23	1872
Ростов-на-Дону	18-25	21	1872
Ростов-на-Дону	26-35	24	1872
Ростов-на-Дону	36-45	63	1872
Ростов-на-Дону	46-60	70	1872
Ростов-на-Дону	61-80	93	1872
Ростов-на-Дону	80-100	59	1872
Ростов-на-Дону	101+	58	1872
Уфа	0-3	87	1872
Уфа	3-7	57	1872
Уфа	8-14	43	1872
Уфа	15-18	81	1872
Уфа	18-25	82	1872
Уфа	26-35	16	1872
Уфа	36-45	49	1872
Уфа	46-60	63	1872
Уфа	61-80	83	1872
Уфа	80-100	48	1872
Уфа	101+	88	1872
Красноярск	0-3	61	1872
Красноярск	3-7	49	1872
Красноярск	8-14	31	1872
Красноярск	15-18	15	1872
Красноярск	18-25	58	1872
Красноярск	26-35	96	1872
Красноярск	36-45	46	1872
Красноярск	46-60	31	1872
Красноярск	61-80	51	1872
Красноярск	80-100	10	1872
Красноярск	101+	21	1872
Москва	0-3	66	1875
Москва	3-7	86	1875
Москва	8-14	94	1875
Москва	15-18	38	1875
Москва	18-25	29	1875
Москва	26-35	99	1875
Москва	36-45	80	1875
Москва	46-60	31	1875
Москва	61-80	81	1875
Москва	80-100	66	1875
Москва	101+	63	1875
Санкт-Петербург	0-3	65	1875
Санкт-Петербург	3-7	26	1875
Санкт-Петербург	8-14	13	1875
Санкт-Петербург	15-18	54	1875
Санкт-Петербург	18-25	46	1875
Санкт-Петербург	26-35	99	1875
Санкт-Петербург	36-45	77	1875
Санкт-Петербург	46-60	19	1875
Санкт-Петербург	61-80	93	1875
Санкт-Петербург	80-100	38	1875
Санкт-Петербург	101+	48	1875
Новосибирск	0-3	39	1875
Новосибирск	3-7	92	1875
Новосибирск	8-14	21	1875
Новосибирск	15-18	30	1875
Новосибирск	18-25	16	1875
Новосибирск	26-35	13	1875
Новосибирск	36-45	60	1875
Новосибирск	46-60	11	1875
Новосибирск	61-80	69	1875
Новосибирск	80-100	19	1875
Новосибирск	101+	58	1875
Екатеринбург	0-3	87	1875
Екатеринбург	3-7	84	1875
Екатеринбург	8-14	79	1875
Екатеринбург	15-18	61	1875
Екатеринбург	18-25	93	1875
Екатеринбург	26-35	54	1875
Екатеринбург	36-45	49	1875
Екатеринбург	46-60	14	1875
Екатеринбург	61-80	46	1875
Екатеринбург	80-100	23	1875
Екатеринбург	101+	21	1875
Казань	0-3	28	1875
Казань	3-7	79	1875
Казань	8-14	84	1875
Казань	15-18	64	1875
Казань	18-25	83	1875
Казань	26-35	74	1875
Казань	36-45	56	1875
Казань	46-60	25	1875
Казань	61-80	26	1875
Казань	80-100	99	1875
Казань	101+	93	1875
Нижний Новгород	0-3	40	1875
Нижний Новгород	3-7	54	1875
Нижний Новгород	8-14	77	1875
Нижний Новгород	15-18	20	1875
Нижний Новгород	18-25	33	1875
Нижний Новгород	26-35	17	1875
Нижний Новгород	36-45	95	1875
Нижний Новгород	46-60	52	1875
Нижний Новгород	61-80	79	1875
Нижний Новгород	80-100	72	1875
Нижний Новгород	101+	13	1875
Челябинск	0-3	91	1875
Челябинск	3-7	70	1875
Челябинск	8-14	92	1875
Челябинск	15-18	94	1875
Челябинск	18-25	63	1875
Челябинск	26-35	43	1875
Челябинск	36-45	74	1875
Челябинск	46-60	71	1875
Челябинск	61-80	89	1875
Челябинск	80-100	43	1875
Челябинск	101+	33	1875
Самара	0-3	80	1875
Самара	3-7	84	1875
Самара	8-14	72	1875
